PhF
 fox24040	1	7,472	36	1	15.245	13.307	511	0	0
 Campbrinx	2	6,904	44	2	94.640	21.694	460	0	0
 Green Dwarf IV	3	5,310	94	2	91.740	43.004	1.208	0	0
 norrrre	4	4,377	154	2	33.356	34.899	327	0	131
 The Only Element	5	4,337	157	2	62.162	9.380	367	155	0
 Unkn0wn2020	6	3,216	300	1	73.471	30.371	30	85	6
 Hannula9	7	2,971	359	1	38.788	3.880	123	0	0
 hulija	8	2,842	382	1	38.534	6.308	4	134	0
 m1a1	9	2,703	415	1	89.400	200	0	0	0
 42mitch	10	2,498	478	1	44.041	29.504	14	0	0
 Tashi200	11	2,441	499	1	70.648	86.362	1.354	0	0
 stanton95	12	2,156	634	1	25.452	6.227	62	0	0
 Butnskala	13	2,085	684	1	31.358	9.907	0	0	0
 nintendope	14	1,999	772	1	37.561	17.455	215	0	11
 Spookie Pie	15	1,889	873	1	22.775	4.869	0	0	0
 cianmac	16	1,881	889	1	73.657	22.067	275	0	0
 AifoS	17	1,876	896	1	19.050	45.512	14	13	0
 CDarkmoon	18	1,842	936	1	47.021	2.878	0	0	1
 awesomepeoplem	19	1,778	1011	1	51.133	256	0	0	0
 Tommeeliuz	20	1,715	1092	1	45.100	11.477	0	0	0
 Mr Zyzz	21	1,496	1444	1	44.280	920	0	0	0
 GrandAutismo	22	1,379	1690	1	27.653	5.056	0	0	0
 Stewinthepot	23	1,328	1823	1	51.047	3.120	0	0	0
 R2D2444	24	1,182	2227	1	22.261	2.441	0	0	0
 Logofatul Mocofan	25	1,023	2751	1	17.300	328	0	0	23
PhN
 wolfie3556	1	3,072	342	1	56.461	78.792	537	0	0
 I-TeeqoZz	2	2,863	378	1	39.062	4.373	0	0	0
 Fortress502	3	2,702	419	1	74.085	965	0	83	0
 jamboar	4	2,672	437	1	73.655	45.927	0	0	0
 LordAkanata	5	2,469	490	1	70.577	11.811	0	0	0
 blah99	6	2,194	612	1	61.297	27.690	39	0	0
 KingOfKings	7	2,073	698	1	89.400	237	0	0	0
 Kazanova Shadow	8	1,965	801	1	97.498	26.865	20	0	0
 X-Rated Curse	9	1,705	1126	1	94.530	140	0	0	2
 CommanderDuterte	10	1,625	1216	1	21.955	22.250	0	0	0
 bladedin	11	1,600	1252	1	35.047	5.517	0	0	0
 BDCoots	12	1,576	1290	1	49.614	29.002	136	0	0
 preshrocks	13	1,479	1477	1	46.283	15.234	34	0	0
 Herr Flick	14	1,475	1491	1	88.513	1.036	0	0	0
 Grandsmack	15	1,425	1587	1	24.160	3.173	2	0	0
 BillyBobTheGreat	16	1,390	1660	1	36.161	4.529	0	0	0
 ruggercaz	17	1,360	1748	1	23.982	25.550	186	0	0
 cedar	18	1,291	1911	1	37.191	15.662	146	0	0
 luckys11	19	1,273	1959	1	22.465	7.323	47	0	0
 freaksho	20	1,241	2098	1	63.925	40.413	307	0	28
 godjenton1	21	1,206	2255	1	24.476	8.243	59	0	0
 Trevett10	22	1,153	2316	1	24.025	959	0	0	0
 DrDeath	23	1,144	2339	1	18.459	7.645	0	0	0
 mooseman	24	1,091	2520	1	37.212	3.890	0	0	0
 Ittre	25	1,046	2705	1	16.327	1.728	0	5	0
PhW
 Holke	1	4,253	164	2	51.270	133.806	536	28	0
 repo	2	3,008	350	1	38.258	13.235	962	236	0
 Lordlauritz	3	2,081	694	1	45.879	1.974	126	0	0
 Fymig	4	2,062	713	1	62.606	775	0	0	0
 Sxuld	5	1,970	796	1	35.084	70.064	755	0	0
 Heinekens Law	6	1,908	852	1	38.311	3.149	0	0	0
 queslett	7	1,883	884	1	46.093	61.268	122	0	0
 privetMessegtoMe	8	1,828	949	1	68.200	233	0	0	0
 dipeex	9	1,723	1078	1	28.948	21.172	176	0	0
 supernero100	10	1,631	1204	1	41.912	799	37	0	0
 Reedy1871	11	1,537	1359	1	35.725	2.592	0	0	0
 s0undw4ve	12	1,374	1751	1	63.785	6.792	0	616	0
 FreedomRunner	13	1,340	1833	1	24.783	0	0	0	0
 alvin100	14	1,300	1891	1	20.801	15.833	141	0	0
 aussieeagle	15	1,188	2201	1	37.832	39.806	107	425	0
 SilverReign	16	1,174	2253	1	28.819	1.676	0	0	0
 Lord marian piciu	17	1,147	2454	1	28.519	5.443	112	0	0
 matijaRULES	18	1,105	2469	1	15.573	289	0	0	0
 camolot457656	19	1,027	2735	1	27.002	350	0	0	1
 X-Corp	20	1,022	2754	1	16.264	268	0	0	0
 rickie23	21	939	3045	1	0	14.427	625	16	16
 aniadur	22	925	3099	1	10.069	3.215	121	0	0
 Lilleauren12g	23	841	3440	1	13.040	462	0	0	0
 simen. l	24	832	3469	1	1.845	8.551	81	0	0
 The Number of The Beast (666)	25	593	4516	1	12.457	4.650	0	0	0
